region,Medal
USA,5637
Russia,3947
Germany,3756
UK,2067
France,1767
Italy,1637
Sweden,1536
Canada,1352
Australia,1349
Hungary,1135
Netherlands,1040
Norway,1033
China,993
Japan,913
Finland,900
Switzerland,691
Romania,653
Czech Republic,644
South Korea,638
Denmark,597
Poland,565
Serbia,539
Spain,489
Brazil,475
Belgium,468
Austria,450
Cuba,409
Bulgaria,342
Argentina,274
Greece,255
New Zealand,228
Ukraine,199
India,197
Jamaica,157
Croatia,149
Belarus,139
South Africa,131
Pakistan,121
Mexico,110
Kenya,106
Nigeria,99
Turkey,95
Kazakhstan,77
Iran,68
North Korea,67
Uruguay,63
Lithuania,61
Ethiopia,53
Estonia,50
Taiwan,49
Slovenia,48
Slovakia,47
Azerbaijan,44
Indonesia,41
Portugal,41
Bahamas,40
Trinidad,37
Latvia,35
Ireland,35
Uzbekistan,34
Georgia,32
Chile,32
Thailand,30
Colombia,28
Egypt,27
Mongolia,26
Morocco,23
Ghana,23
Zimbabwe,22
Cameroon,22
Algeria,17
Iceland,17
Paraguay,17
Armenia,16
Malaysia,16
Peru,15
Venezuela,15
Montenegro,14
Fiji,13
Tunisia,13
Philippines,10
Puerto Rico,9
Israel,9
Liechtenstein,9
Moldova,8
Luxembourg,8
Haiti,7
Uganda,7
Dominican Republic,7
Saudi Arabia,6
Individual Olympic Athletes,5
Syria,5
Qatar,5
Namibia,4
Costa Rica,4
Lebanon,4
Vietnam,4
Tajikistan,4
Ivory Coast,3
Kyrgyzstan,3
Panama,3
Bahrain,3
Afghanistan,2
Ecuador,2
Zambia,2
United Arab Emirates,2
Suriname,2
Tanzania,2
Niger,2
Mozambique,2
Sri Lanka,2
Burundi,2
Kuwait,2
Grenada,2
Botswana,1
Curacao,1
Djibouti,1
Barbados,1
Bermuda,1
Gabon,1
Kosovo,1
Jordan,1
Guyana,1
Iraq,1
Guatemala,1
Cyprus,1
Eritrea,1
Monaco,1
Senegal,1
Mauritius,1
Macedonia,1
Nepal,1
Togo,1
Sudan,1
Tonga,1
"Virgin Islands, US",1
